year,season,district_name,mandal_name,crop,normal_area,actual_name
2016-2017,Rabi,Adilabad,Tamsi,Other oil Seeds,0,0
2016-2017,Rabi,Adilabad,Talamadugu,Other oil Seeds,1,0
2016-2017,Rabi,Adilabad,Adilabad (Rural),Total Oil seeds,31,0
2016-2017,Rabi,Adilabad,Mavala,Total Oil seeds,0,0
2016-2017,Rabi,Adilabad,Adilabad (Urban),Total Oil seeds,0,0
2016-2017,Rabi,Adilabad,Jainath,Total Oil seeds,84,0
2016-2017,Rabi,Adilabad,Bela,Total Oil seeds,31,0
2016-2017,Rabi,Adilabad,Ichoda,Total Oil seeds,13,0
2016-2017,Rabi,Adilabad,Srikonda,Total Oil seeds,0,0
2016-2017,Rabi,Adilabad,Gudihathnoor,Total Oil seeds,27,0
2016-2017,Rabi,Adilabad,Utnoor,Total Oil seeds,6,0
2016-2017,Rabi,Adilabad,Inderavelly,Total Oil seeds,0,0
2016-2017,Rabi,Adilabad,Narnoor,Total Oil seeds,0,0
2016-2017,Rabi,Adilabad,Gadiguda,Total Oil seeds,0,0
2016-2017,Rabi,Adilabad,Boath,Total Oil seeds,88,0
2016-2017,Rabi,Adilabad,Bazarhatnoor,Total Oil seeds,3,0
2016-2017,Rabi,Adilabad,Neradigonda,Total Oil seeds,13,0
2016-2017,Rabi,Adilabad,Bheempur,Total Oil seeds,0,0
2016-2017,Rabi,Adilabad,Tamsi,Total Oil seeds,61,0
2016-2017,Rabi,Adilabad,Talamadugu,Total Oil seeds,103,0
2016-2017,Rabi,Adilabad,Adilabad (Rural),Tobacco,0,8
2016-2017,Rabi,Adilabad,Mavala,Tobacco,0,0
2016-2017,Rabi,Adilabad,Adilabad (Urban),Tobacco,0,0
2016-2017,Rabi,Adilabad,Jainath,Tobacco,0,0
2016-2017,Rabi,Adilabad,Bela,Tobacco,0,0
2016-2017,Rabi,Adilabad,Ichoda,Tobacco,0,0
2016-2017,Rabi,Adilabad,Srikonda,Tobacco,0,0
2016-2017,Rabi,Adilabad,Gudihathnoor,Tobacco,0,0
2016-2017,Rabi,Adilabad,Utnoor,Tobacco,0,0
2016-2017,Rabi,Adilabad,Inderavelly,Tobacco,0,0
2016-2017,Rabi,Adilabad,Narnoor,Tobacco,0,0
2016-2017,Rabi,Adilabad,Gadiguda,Tobacco,0,0
2016-2017,Rabi,Adilabad,Boath,Tobacco,0,0
2016-2017,Rabi,Adilabad,Bazarhatnoor,Tobacco,0,0
2016-2017,Rabi,Adilabad,Neradigonda,Tobacco,0,0
2016-2017,Rabi,Adilabad,Bheempur,Tobacco,0,0
2016-2017,Rabi,Adilabad,Tamsi,Tobacco,0,0
2016-2017,Rabi,Adilabad,Talamadugu,Tobacco,8,43
2016-2017,Rabi,Adilabad,Adilabad (Rural),Other Non Food Crops,0,2
2016-2017,Rabi,Adilabad,Mavala,Other Non Food Crops,0,2
2016-2017,Rabi,Adilabad,Adilabad (Urban),Other Non Food Crops,0,11
2016-2017,Rabi,Adilabad,Jainath,Other Non Food Crops,19,10
2016-2017,Rabi,Adilabad,Bela,Other Non Food Crops,0,
2016-2017,Rabi,Adilabad,Ichoda,Other Non Food Crops,0,0
2016-2017,Rabi,Adilabad,Srikonda,Other Non Food Crops,0,1
2016-2017,Rabi,Adilabad,Gudihathnoor,Other Non Food Crops,0,0
2016-2017,Rabi,Adilabad,Utnoor,Other Non Food Crops,0,0
2016-2017,Rabi,Adilabad,Inderavelly,Other Non Food Crops,0,0
2016-2017,Rabi,Adilabad,Narnoor,Other Non Food Crops,0,0
2016-2017,Rabi,Adilabad,Gadiguda,Other Non Food Crops,0,0
2016-2017,Rabi,Adilabad,Boath,Other Non Food Crops,0,0
2016-2017,Rabi,Adilabad,Bazarhatnoor,Other Non Food Crops,0,0
2016-2017,Rabi,Adilabad,Neradigonda,Other Non Food Crops,0,0
2016-2017,Rabi,Adilabad,Bheempur,Other Non Food Crops,0,1
2016-2017,Rabi,Adilabad,Tamsi,Other Non Food Crops,0,0
2016-2017,Rabi,Adilabad,Talamadugu,Other Non Food Crops,0,0
2016-2017,Rabi,Adilabad,Adilabad (Rural),Total Non food crops,31,0
2016-2017,Rabi,Adilabad,Mavala,Total Non food crops,0,0
2016-2017,Rabi,Adilabad,Adilabad (Urban),Total Non food crops,0,0
2016-2017,Rabi,Adilabad,Jainath,Total Non food crops,103,0
2016-2017,Rabi,Adilabad,Bela,Total Non food crops,31,0
